"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","20.44.229.112","192.168.43.100","TCP","54","443  >  64532 [ACK] Seq=1 Ack=1 Win=1146 Len=0"
"2","0.079002","20.44.229.112","192.168.43.100","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"3","0.079979","192.168.43.100","20.44.229.112","TCP","1414","64532  >  443 [ACK] Seq=1 Ack=52 Win=512 Len=1360 [TCP segment of a reassembled PDU]"
"4","0.079979","192.168.43.100","20.44.229.112","TLSv1.2","317","Application Data"
"5","0.080158","192.168.43.100","20.44.229.112","TCP","1414","64532  >  443 [ACK] Seq=1624 Ack=52 Win=512 Len=1360 [TCP segment of a reassembled PDU]"
"6","0.080158","192.168.43.100","20.44.229.112","TLSv1.2","163","Application Data"
"7","0.114149","20.44.229.112","192.168.43.100","TCP","54","443  >  64532 [ACK] Seq=52 Ack=1624 Win=1551 Len=0"
"8","0.114328","20.44.229.112","192.168.43.100","TCP","54","443  >  64532 [ACK] Seq=52 Ack=2984 Win=1891 Len=0"
"9","0.114328","20.44.229.112","192.168.43.100","TCP","54","443  >  64532 [ACK] Seq=52 Ack=3093 Win=1919 Len=0"
"10","0.476275","20.44.229.112","192.168.43.100","TCP","1454","443  >  64532 [PSH, ACK] Seq=52 Ack=3093 Win=1919 Len=1400 [TCP segment of a reassembled PDU]"
"11","0.476615","20.44.229.112","192.168.43.100","TLSv1.2","701","Application Data"
"12","0.476722","192.168.43.100","20.44.229.112","TCP","54","64532  >  443 [ACK] Seq=3093 Ack=2099 Win=515 Len=0"
"13","0.522954","192.168.43.100","20.44.229.112","TCP","1414","64532  >  443 [ACK] Seq=3093 Ack=2099 Win=515 Len=1360 [TCP segment of a reassembled PDU]"
"14","0.522954","192.168.43.100","20.44.229.112","TLSv1.2","304","Application Data"
"15","0.571371","20.44.229.112","192.168.43.100","TCP","54","443  >  64532 [ACK] Seq=2099 Ack=4703 Win=2321 Len=0"
"16","0.827970","20.44.229.112","192.168.43.100","TLSv1.2","544","Application Data"
"17","0.881116","192.168.43.100","20.44.229.112","TCP","54","64532  >  443 [ACK] Seq=4703 Ack=2589 Win=513 Len=0"
"18","0.997986","192.168.43.100","142.251.12.113","UDP","352","64410  >  443 Len=310"
"19","1.075849","142.251.12.113","192.168.43.100","UDP","69","443  >  64410 Len=27"
"20","1.076651","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"21","1.076651","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"22","1.076651","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"23","1.077154","192.168.43.100","142.251.12.113","UDP","75","64410  >  443 Len=33"
"24","1.080712","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"25","1.080712","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"26","1.080712","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"27","1.080712","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"28","1.081091","192.168.43.100","142.251.12.113","UDP","75","64410  >  443 Len=33"
"29","1.081354","192.168.43.100","142.251.12.113","UDP","75","64410  >  443 Len=33"
"30","1.088526","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"31","1.088526","142.251.12.113","192.168.43.100","UDP","794","443  >  64410 Len=752"
"32","1.088526","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"33","1.088526","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"34","1.088526","142.251.12.113","192.168.43.100","UDP","1292","443  >  64410 Len=1250"
"35","1.088526","142.251.12.113","192.168.43.100","UDP","711","443  >  64410 Len=669"
"36","1.088958","192.168.43.100","142.251.12.113","UDP","75","64410  >  443 Len=33"
"37","1.089238","192.168.43.100","142.251.12.113","UDP","75","64410  >  443 Len=33"
"38","1.089462","192.168.43.100","142.251.12.113","UDP","75","64410  >  443 Len=33"
"39","1.116639","192.168.43.100","142.251.12.113","UDP","75","64410  >  443 Len=33"
"40","1.595668","192.168.43.100","142.251.10.100","UDP","1292","49626  >  443 Len=1250"
"41","1.679600","142.251.10.100","192.168.43.100","UDP","67","443  >  49626 Len=25"
"42","1.681434","192.168.43.100","142.251.10.100","UDP","1292","49626  >  443 Len=1250"
"43","1.682040","192.168.43.100","142.251.10.100","UDP","847","49626  >  443 Len=805"
